Date,Product,Category,Region,Units,Revenue
2023-09-18,T-shirt,Fashion,North,2,686
2024-08-30,T-shirt,Fashion,West,8,7360
2024-11-06,Laptop,Electronics,East,5,1505
2023-05-12,Backpack,Accessories,North,6,3168
2024-06-21,Jacket,Fashion,West,7,5418
2023-03-13,Coffee Maker,Home,East,9,1827
2023-07-11,Blender,Home,West,5,4845
2024-12-11,Shoes,Fashion,North,6,3444
2024-08-30,Laptop,Electronics,South,2,1116
2024-12-16,Headphones,Electronics,North,5,225
2024-05-18,Backpack,Accessories,West,10,2260
2024-02-18,Coffee Maker,Home,South,3,2157
2023-10-15,Headphones,Electronics,West,7,1603
2024-01-28,Desk Lamp,Home,North,1,342
2024-05-12,Sunglasses,Accessories,East,10,530
2024-11-19,Watch,Accessories,North,4,1112
2024-02-09,Headphones,Electronics,South,7,2436
2024-02-01,Smartphone,Electronics,North,9,5472
2024-02-17,Desk Lamp,Home,West,10,6010
2024-08-23,Desk Lamp,Home,North,4,2984
2023-03-18,Watch,Accessories,North,8,2744
2024-08-04,Laptop,Electronics,East,8,3680
2023-02-03,Smartphone,Electronics,East,3,3537
2024-10-25,Watch,Accessories,North,2,536
2024-09-20,Smartphone,Electronics,West,2,148
2023-09-17,Shoes,Fashion,North,1,702
2023-03-29,Laptop,Electronics,East,10,3890
2023-08-21,Desk Lamp,Home,West,6,3648
2024-09-03,Backpack,Accessories,East,4,640
2024-10-28,Shoes,Fashion,East,2,1248
2023-12-27,Backpack,Accessories,North,4,592
2024-03-09,Smartphone,Electronics,North,4,4688
2023-09-15,Headphones,Electronics,East,4,3224
2024-06-18,Smartphone,Electronics,South,5,845
2024-07-02,Watch,Accessories,South,1,790
2023-03-30,Headphones,Electronics,South,1,926
2024-08-09,Desk Lamp,Home,West,9,9315
2023-09-03,Watch,Accessories,West,3,1032
2024-05-10,Smartphone,Electronics,North,9,2979
2023-12-21,Laptop,Electronics,West,7,2289
2024-01-13,Backpack,Accessories,North,2,444
2024-12-14,Blender,Home,East,9,2115
2024-09-03,Headphones,Electronics,East,2,1692
2024-12-24,T-shirt,Fashion,South,6,2538
2024-02-21,Blender,Home,North,5,1450
2023-01-24,Smartphone,Electronics,North,2,236
2023-10-14,Laptop,Electronics,East,5,725
2024-12-20,Laptop,Electronics,North,10,4590
2024-12-29,Smartphone,Electronics,North,6,3888
2024-03-20,Laptop,Electronics,East,4,1068
2023-10-22,Jacket,Fashion,West,9,3627
2023-08-12,Coffee Maker,Home,North,8,2088
2024-12-11,Headphones,Electronics,South,7,6531
2023-01-12,Shoes,Fashion,South,10,9260
2023-05-23,T-shirt,Fashion,West,1,841
2024-12-26,Laptop,Electronics,South,4,480
2023-07-08,Laptop,Electronics,South,7,4704
2023-12-16,Sunglasses,Accessories,East,10,1300
2023-02-18,Watch,Accessories,North,8,9352
2023-07-22,T-shirt,Fashion,North,7,2233
2023-08-08,Coffee Maker,Home,West,4,2960
2023-12-11,Headphones,Electronics,South,6,6084
2024-09-17,T-shirt,Fashion,South,4,1116
2024-12-26,Coffee Maker,Home,South,6,2370
2024-03-07,Laptop,Electronics,North,9,9711
2024-02-29,Sunglasses,Accessories,South,2,2016
2023-01-27,Watch,Accessories,East,5,3500
2023-01-03,Watch,Accessories,North,9,5256
2024-09-24,Coffee Maker,Home,South,2,2358
2023-01-04,Smartphone,Electronics,West,6,7008
2024-09-13,Sunglasses,Accessories,South,2,2042
2023-11-28,Backpack,Accessories,West,8,5920
2023-03-21,Coffee Maker,Home,South,8,2456
2023-08-13,Desk Lamp,Home,East,2,1510
2023-04-04,Smartphone,Electronics,West,3,2466
2024-11-02,Laptop,Electronics,West,3,3138
2023-12-04,Desk Lamp,Home,North,9,5364
2024-01-19,Headphones,Electronics,North,8,3816
2024-04-26,Jacket,Fashion,North,7,6874
2024-02-27,Headphones,Electronics,West,5,2155
2023-03-11,Jacket,Fashion,South,5,2740
2024-12-12,Blender,Home,East,3,1716
2024-10-02,Sunglasses,Accessories,South,2,966
2023-11-27,Watch,Accessories,East,9,3204
2024-04-30,Desk Lamp,Home,East,4,4188
2024-09-04,Blender,Home,West,3,2235
2024-11-08,Sunglasses,Accessories,North,5,1090
2024-09-09,Jacket,Fashion,North,5,1375
2024-08-10,Jacket,Fashion,West,4,2612
2023-07-03,Laptop,Electronics,South,10,8980
2024-04-07,Desk Lamp,Home,East,10,2550
2023-02-22,Blender,Home,North,4,3820
2023-11-12,Laptop,Electronics,North,3,1926
2023-07-18,Smartphone,Electronics,West,1,976
2024-08-25,Desk Lamp,Home,South,8,5960
2023-09-24,Backpack,Accessories,North,9,9027
2024-01-19,Desk Lamp,Home,North,1,737
2023-10-11,Laptop,Electronics,North,9,4068
2023-03-23,Jacket,Fashion,South,8,4600
2023-06-22,Smartphone,Electronics,South,8,9592
2023-06-01,Headphones,Electronics,West,2,218
2024-04-19,Headphones,Electronics,South,8,8560
2023-12-10,Coffee Maker,Home,West,6,7050
2023-10-17,Watch,Accessories,West,9,9765
2023-05-09,Sunglasses,Accessories,East,8,5672
2023-05-20,Sunglasses,Accessories,West,1,459
2024-12-25,Smartphone,Electronics,North,4,2908
2024-11-06,Jacket,Fashion,East,7,1337
2023-04-25,Coffee Maker,Home,East,9,9072
2024-04-15,Backpack,Accessories,West,7,4648
2023-08-21,Jacket,Fashion,West,3,1230
2023-09-04,Backpack,Accessories,South,2,1056
2023-12-28,Blender,Home,East,6,2778
2024-12-29,Watch,Accessories,North,3,381
2023-02-28,Watch,Accessories,South,4,1148
2024-05-07,Blender,Home,South,6,1776
2023-09-04,Sunglasses,Accessories,South,4,388
2024-03-18,T-shirt,Fashion,North,3,1212
2023-09-20,Blender,Home,East,4,2024
2023-08-20,Blender,Home,East,6,5112
2023-09-02,T-shirt,Fashion,East,5,5950
2023-06-19,Watch,Accessories,West,2,1024
2023-07-07,Shoes,Fashion,South,5,3815
2023-02-06,Desk Lamp,Home,South,5,1050
2024-12-11,Sunglasses,Accessories,West,4,516
2024-04-15,Blender,Home,East,6,5892
2024-11-30,Coffee Maker,Home,South,2,1476
2024-10-23,Laptop,Electronics,West,4,2964
2024-02-15,Desk Lamp,Home,East,1,404
2024-11-02,Sunglasses,Accessories,South,9,1593
2023-10-05,Desk Lamp,Home,North,6,4488
2023-07-18,Blender,Home,South,6,2982
2024-04-11,Headphones,Electronics,East,1,1023
2023-11-12,Shoes,Fashion,South,4,2600
2023-04-03,Laptop,Electronics,North,5,425
2024-07-20,Headphones,Electronics,East,2,1280
2023-10-19,Sunglasses,Accessories,East,7,1589
2023-06-30,Desk Lamp,Home,South,2,1420
2023-03-20,Watch,Accessories,South,2,520
2024-02-25,Laptop,Electronics,East,3,1737
2024-05-12,Shoes,Fashion,West,6,1896
2023-08-15,Smartphone,Electronics,North,6,6168
2023-11-02,Backpack,Accessories,South,7,8281
2023-04-14,Smartphone,Electronics,East,3,3519
2024-02-05,Coffee Maker,Home,West,7,8029
2023-06-03,Blender,Home,East,1,235
2023-02-19,T-shirt,Fashion,East,3,579
2023-02-15,Backpack,Accessories,East,3,501
2023-06-19,Backpack,Accessories,North,6,6930
2023-02-07,Laptop,Electronics,East,5,2340
2023-09-01,Jacket,Fashion,North,6,2100
2024-02-12,Backpack,Accessories,West,3,1518
2024-02-08,Sunglasses,Accessories,East,3,2439
2024-01-25,Shoes,Fashion,South,1,399
2024-08-11,Watch,Accessories,North,7,2408
2023-09-05,Desk Lamp,Home,East,9,6399
2023-04-20,Shoes,Fashion,West,7,3514
2023-06-26,T-shirt,Fashion,South,5,2205
2024-10-27,Sunglasses,Accessories,North,9,3717
2024-03-11,Coffee Maker,Home,North,3,2616
2024-08-25,Blender,Home,South,6,3948
2024-05-19,Backpack,Accessories,South,3,2436
2023-10-09,Blender,Home,East,3,1077
2024-03-08,Shoes,Fashion,West,3,1530
2023-01-19,Coffee Maker,Home,West,5,4085
2023-08-03,Coffee Maker,Home,North,3,843
2023-05-08,Headphones,Electronics,West,9,2295
2023-10-01,Shoes,Fashion,East,8,4968
2023-03-09,Headphones,Electronics,West,2,1972
2024-12-31,Smartphone,Electronics,West,4,4484
2023-12-11,Desk Lamp,Home,South,10,9160
2024-03-03,Laptop,Electronics,West,1,470
2023-01-11,Sunglasses,Accessories,North,9,8235
2024-03-08,T-shirt,Fashion,West,8,4304
2023-08-24,Headphones,Electronics,South,1,764
2023-04-27,Coffee Maker,Home,South,1,676
2023-10-04,Backpack,Accessories,South,10,11990
2023-03-15,Laptop,Electronics,South,7,7336
2024-07-24,Desk Lamp,Home,North,6,7128
2023-11-11,Backpack,Accessories,West,9,2340
2023-05-02,T-shirt,Fashion,West,6,1968
2023-01-19,Backpack,Accessories,South,9,5175
2024-11-11,Blender,Home,North,1,552
2024-03-05,Smartphone,Electronics,West,5,5835
2024-08-17,Desk Lamp,Home,East,8,4848
2024-04-29,Jacket,Fashion,South,4,1448
2023-06-21,Jacket,Fashion,South,10,11090
2023-09-28,Shoes,Fashion,West,8,1576
2023-12-25,Desk Lamp,Home,North,2,970
2023-02-14,Smartphone,Electronics,East,1,976
2024-06-09,Shoes,Fashion,East,6,2688
2024-09-11,Coffee Maker,Home,East,8,3096
2024-08-22,T-shirt,Fashion,West,3,435
2024-06-19,Watch,Accessories,East,7,2436
2023-08-31,Coffee Maker,Home,East,2,2002
2023-12-06,Jacket,Fashion,West,9,7587
2023-11-25,Coffee Maker,Home,East,1,189
2023-09-17,Watch,Accessories,South,10,8980
2024-05-01,Blender,Home,South,4,1624
2023-10-21,Desk Lamp,Home,North,4,1952
2023-03-19,Coffee Maker,Home,West,6,3846
2023-12-07,Coffee Maker,Home,South,6,5970
2024-08-15,Blender,Home,North,3,345
2023-11-25,Laptop,Electronics,East,5,590
2024-06-30,Backpack,Accessories,East,3,1026
2023-08-07,T-shirt,Fashion,South,9,972
2023-11-14,Jacket,Fashion,North,1,743
2023-03-15,Shoes,Fashion,North,5,3320
2023-03-28,Jacket,Fashion,South,3,3087
2024-12-23,Blender,Home,West,2,1590
2024-03-04,Jacket,Fashion,South,10,9000
2023-10-13,Blender,Home,North,10,1110
2023-07-25,Sunglasses,Accessories,East,4,528
2023-06-11,Laptop,Electronics,North,4,1408
2023-12-11,Coffee Maker,Home,South,9,567
2023-06-18,Backpack,Accessories,West,7,6559
2023-10-23,Laptop,Electronics,West,8,6376
2023-09-27,Backpack,Accessories,North,10,9000
2023-08-21,Sunglasses,Accessories,West,5,730
2023-09-01,Sunglasses,Accessories,North,7,4340
2024-11-29,Smartphone,Electronics,South,5,525
2023-09-20,Shoes,Fashion,South,4,4720
2023-08-19,Shoes,Fashion,South,8,6192
2023-03-30,Sunglasses,Accessories,South,4,1460
2023-08-12,Backpack,Accessories,South,10,1890
2024-09-17,Shoes,Fashion,South,10,11470
2024-10-30,Smartphone,Electronics,South,10,9120
2023-03-10,Blender,Home,South,8,8240
2023-12-13,Blender,Home,East,3,2250
2023-03-29,Laptop,Electronics,North,10,360
2024-09-27,Headphones,Electronics,East,3,2157
2023-08-23,Watch,Accessories,South,10,3900
2024-05-10,Sunglasses,Accessories,West,10,9750
2023-05-10,Jacket,Fashion,East,8,7144
2024-04-05,Coffee Maker,Home,East,10,9510
2023-12-15,Sunglasses,Accessories,North,4,1948
2023-07-21,Blender,Home,North,6,210
2024-06-11,Laptop,Electronics,North,9,5157
2023-07-30,Smartphone,Electronics,South,9,10746
2023-10-14,Laptop,Electronics,South,6,4764
2024-10-19,Desk Lamp,Home,West,3,1254
2024-04-19,T-shirt,Fashion,South,3,3348
2023-08-30,Blender,Home,West,2,708
2024-12-15,Shoes,Fashion,North,2,1388
2023-03-04,Headphones,Electronics,East,4,2380
2024-08-23,Jacket,Fashion,East,6,5010
2024-11-04,Coffee Maker,Home,North,8,7792
2024-05-21,Blender,Home,South,1,1069
2023-02-15,Smartphone,Electronics,North,3,453
2023-03-10,Smartphone,Electronics,East,10,1810
2024-01-15,Smartphone,Electronics,East,1,955
2023-03-09,Jacket,Fashion,South,2,906
2023-04-14,T-shirt,Fashion,East,10,2200
2024-10-24,Jacket,Fashion,West,2,202
2023-07-11,Blender,Home,North,9,7650
2023-11-05,Jacket,Fashion,East,5,1835
2024-03-15,Watch,Accessories,East,10,3100
2023-05-18,T-shirt,Fashion,West,4,1832
2024-02-11,Coffee Maker,Home,South,10,10630
2024-07-31,Sunglasses,Accessories,South,2,1014
2024-11-17,T-shirt,Fashion,South,6,828
2023-10-17,Desk Lamp,Home,East,7,4375
2024-10-12,Headphones,Electronics,North,9,5661
2023-10-21,Backpack,Accessories,West,7,231
2023-08-26,Blender,Home,East,6,720
2024-01-30,Backpack,Accessories,East,2,2252
2024-10-08,Smartphone,Electronics,South,1,878
2023-06-27,Headphones,Electronics,North,2,280
2024-10-25,Smartphone,Electronics,East,7,1064
2023-07-22,T-shirt,Fashion,East,8,1616
2023-02-28,Laptop,Electronics,South,5,3295
2024-02-05,Laptop,Electronics,North,9,2691
2023-09-05,Desk Lamp,Home,South,6,2520
2024-01-18,Watch,Accessories,North,3,2532
2023-05-19,Blender,Home,West,10,11570
2024-11-12,Blender,Home,North,3,2910
2024-04-19,Desk Lamp,Home,West,1,583
2024-05-31,Smartphone,Electronics,South,3,1671
2024-07-26,Coffee Maker,Home,North,8,7240
2023-05-22,Headphones,Electronics,West,3,1209
2024-02-25,Coffee Maker,Home,West,2,740
2024-05-25,Sunglasses,Accessories,South,9,5076
2024-08-05,Watch,Accessories,South,2,1726
2023-08-21,Smartphone,Electronics,East,8,4432
2023-11-17,Sunglasses,Accessories,West,8,2120
2023-02-27,Watch,Accessories,West,9,2151
2023-10-03,Backpack,Accessories,North,10,6200
2023-05-23,T-shirt,Fashion,South,6,126
2023-01-29,Coffee Maker,Home,North,3,1146
2024-06-22,Shoes,Fashion,North,1,309
2023-07-18,Jacket,Fashion,West,10,3230
2024-12-26,Smartphone,Electronics,West,10,7820
2023-07-30,Blender,Home,West,8,4680
2024-12-28,Desk Lamp,Home,West,1,335
2024-05-07,Jacket,Fashion,South,3,2541
2024-03-22,Backpack,Accessories,East,5,1450
2024-10-08,Shoes,Fashion,South,10,4650
2024-04-19,Laptop,Electronics,South,3,3072
2023-11-28,T-shirt,Fashion,East,10,4900
2024-10-26,Desk Lamp,Home,East,3,2607
2024-01-11,Sunglasses,Accessories,East,5,4640
2024-06-13,Desk Lamp,Home,West,10,3640
2024-12-27,Blender,Home,South,8,9360
2024-06-24,Backpack,Accessories,South,7,5852
2024-07-16,Sunglasses,Accessories,West,3,2529
2024-09-23,T-shirt,Fashion,West,3,3165
2024-07-09,Smartphone,Electronics,North,6,6546
2024-05-04,Coffee Maker,Home,North,3,474
2024-11-22,Backpack,Accessories,North,9,9297
2024-08-13,Jacket,Fashion,West,7,1512
2023-04-13,Shoes,Fashion,North,3,2535
2023-12-13,Backpack,Accessories,North,2,2388
2023-04-14,Headphones,Electronics,North,1,462
2023-05-31,Coffee Maker,Home,East,7,6321
2024-04-12,Shoes,Fashion,South,7,8295
2024-01-31,Watch,Accessories,East,8,4528
2023-09-12,Laptop,Electronics,East,9,5337
2023-09-06,Shoes,Fashion,South,9,4428
2023-02-10,Blender,Home,East,9,9351
2024-12-31,Jacket,Fashion,West,5,3955
2023-07-14,Coffee Maker,Home,West,1,492
2023-09-04,Laptop,Electronics,West,4,2180
2023-04-14,T-shirt,Fashion,South,2,1536
2024-06-25,Smartphone,Electronics,North,2,328
2024-12-06,Blender,Home,North,3,510
2023-03-25,Watch,Accessories,South,1,192
2024-10-01,Shoes,Fashion,West,6,5364
2024-09-28,Shoes,Fashion,North,1,967
2024-11-05,Headphones,Electronics,East,10,8320
2024-07-09,Desk Lamp,Home,East,8,1448
2023-05-25,T-shirt,Fashion,West,1,296
2023-01-18,Blender,Home,South,2,786
2023-01-11,T-shirt,Fashion,West,10,390
2024-12-17,T-shirt,Fashion,West,8,9480
2023-08-24,Smartphone,Electronics,North,7,6979
2023-06-30,Headphones,Electronics,East,9,4329
2023-06-12,Laptop,Electronics,East,5,3125
2023-03-11,Headphones,Electronics,East,8,8416
2024-03-04,Smartphone,Electronics,South,5,740
2024-07-21,Shoes,Fashion,North,5,3815
2024-12-25,Smartphone,Electronics,North,8,6264
2024-02-18,Backpack,Accessories,West,4,156
2023-09-24,Laptop,Electronics,North,6,5664
2023-07-31,Headphones,Electronics,East,9,9459
2024-01-12,Desk Lamp,Home,North,10,9080
2023-09-22,Sunglasses,Accessories,East,2,612
2023-07-15,Backpack,Accessories,South,1,165
2023-03-02,Backpack,Accessories,West,7,8309
2024-04-28,Sunglasses,Accessories,South,9,3159
2023-01-22,Jacket,Fashion,South,5,3935
2023-08-23,Backpack,Accessories,East,4,3364
2023-04-29,Headphones,Electronics,South,6,5142
2024-11-09,Jacket,Fashion,East,1,547
2024-04-13,Sunglasses,Accessories,South,3,3399
2023-05-27,Jacket,Fashion,North,9,8775
2024-10-08,Jacket,Fashion,North,7,5145
2023-04-22,Shoes,Fashion,South,9,7056
2024-11-14,Sunglasses,Accessories,South,7,4025
2023-09-27,Smartphone,Electronics,West,10,1040
2023-05-26,Backpack,Accessories,West,2,956
2023-04-23,Shoes,Fashion,West,8,7512
2024-10-13,Backpack,Accessories,East,2,1558
2023-12-04,Desk Lamp,Home,East,10,6350
2024-08-30,Desk Lamp,Home,North,10,11590
2023-12-09,Backpack,Accessories,East,9,4356
2024-06-11,T-shirt,Fashion,South,6,864
2023-11-29,Smartphone,Electronics,North,2,2344
2024-09-21,Backpack,Accessories,East,4,4680
2023-06-18,Coffee Maker,Home,East,5,2955
2023-08-29,Jacket,Fashion,West,7,7854
2024-04-14,Smartphone,Electronics,West,2,1220
2024-08-05,Blender,Home,East,5,1845
2023-07-24,Smartphone,Electronics,East,10,4290
2023-08-01,Headphones,Electronics,South,3,2625
2024-09-09,Sunglasses,Accessories,East,2,638
2023-05-30,Sunglasses,Accessories,South,1,492
2024-09-02,Backpack,Accessories,North,8,8408
2023-03-31,Desk Lamp,Home,West,7,6083
2023-06-13,Laptop,Electronics,East,4,3776
2023-09-17,Blender,Home,East,2,1172
2024-07-03,Watch,Accessories,West,7,5208
2024-01-13,Backpack,Accessories,North,9,5184
2024-05-01,Smartphone,Electronics,North,10,10450
2023-11-16,Sunglasses,Accessories,West,7,8113
2023-06-01,Shoes,Fashion,East,10,1610
2023-04-13,Coffee Maker,Home,West,7,2849
2024-11-24,Coffee Maker,Home,East,2,1898
2023-12-30,Shoes,Fashion,South,5,5480
2023-03-18,Backpack,Accessories,North,10,210
2023-04-23,Headphones,Electronics,West,10,2900
2023-02-05,Jacket,Fashion,West,4,544
2024-06-03,Desk Lamp,Home,West,5,5975
2023-12-27,Jacket,Fashion,West,5,1605
2024-09-22,Smartphone,Electronics,North,5,5685
2024-08-26,Watch,Accessories,East,5,3915
2023-08-18,T-shirt,Fashion,North,8,4696
2024-05-13,Backpack,Accessories,West,8,9496
2023-01-11,Blender,Home,East,10,9940
2024-05-28,Watch,Accessories,North,1,760
2024-10-23,Watch,Accessories,North,4,1284
2024-09-30,Coffee Maker,Home,South,9,4950
2023-03-01,Laptop,Electronics,West,10,4730
2023-07-08,Laptop,Electronics,South,3,3291
2024-04-21,Desk Lamp,Home,North,2,1658
2023-07-17,Watch,Accessories,North,6,2862
2024-12-14,Desk Lamp,Home,South,9,5868
2024-02-07,Headphones,Electronics,South,2,210
2024-11-19,Backpack,Accessories,South,10,9110
2024-07-07,Headphones,Electronics,North,1,869
2024-07-15,Shoes,Fashion,East,9,6759
2024-02-13,Jacket,Fashion,North,4,804
2023-05-12,Headphones,Electronics,East,5,2265
2024-05-27,Shoes,Fashion,West,1,857
2024-08-20,Shoes,Fashion,North,10,6940
2023-08-02,Watch,Accessories,South,10,2450
2024-05-19,Desk Lamp,Home,North,3,2778
2024-06-26,Backpack,Accessories,East,1,907
2023-04-10,Laptop,Electronics,South,3,2484
2024-02-13,Coffee Maker,Home,East,1,1178
2024-06-11,Coffee Maker,Home,North,2,314
2023-03-28,Headphones,Electronics,North,9,3933
2024-01-18,Headphones,Electronics,South,3,477
2024-10-10,T-shirt,Fashion,South,8,9216
2024-03-19,Headphones,Electronics,West,6,144
2024-03-22,Shoes,Fashion,East,10,3490
2023-08-09,Watch,Accessories,East,10,9760
2023-10-12,Sunglasses,Accessories,North,1,288
2023-03-29,Sunglasses,Accessories,East,2,1638
2024-12-28,Laptop,Electronics,South,9,4527
2024-08-21,Headphones,Electronics,West,2,484
2024-04-23,Headphones,Electronics,South,10,11080
2023-05-24,Smartphone,Electronics,North,6,1416
2024-12-15,Jacket,Fashion,North,4,2808
2023-03-18,Desk Lamp,Home,East,10,8120
2023-08-31,Headphones,Electronics,North,4,4660
2023-12-01,Coffee Maker,Home,East,1,1088
2024-04-27,Headphones,Electronics,South,6,3966
2023-03-30,Coffee Maker,Home,West,2,2342
2024-07-05,Shoes,Fashion,East,6,5862
2023-09-22,Blender,Home,North,9,4257
2023-09-29,Desk Lamp,Home,South,9,9324
2024-03-18,Watch,Accessories,East,3,159
2023-02-13,Coffee Maker,Home,West,3,1656
2024-02-22,Headphones,Electronics,North,2,1690
2023-08-23,Headphones,Electronics,South,9,5418
2024-06-01,Backpack,Accessories,North,2,656
2024-05-24,Backpack,Accessories,South,2,708
2023-05-09,Backpack,Accessories,West,10,3590
2024-06-18,Coffee Maker,Home,West,1,329
2023-06-30,Jacket,Fashion,North,6,6888
2023-11-18,T-shirt,Fashion,West,6,2688
2024-11-11,Coffee Maker,Home,North,5,5260
2023-05-14,Coffee Maker,Home,South,8,464
2024-10-13,Desk Lamp,Home,West,6,138
2024-01-24,T-shirt,Fashion,North,8,2040
2024-09-29,Headphones,Electronics,South,10,9050
2024-09-05,Coffee Maker,Home,West,9,3258
2023-08-13,Shoes,Fashion,South,6,2322
2023-07-03,Blender,Home,South,2,74
2023-04-24,Shoes,Fashion,North,6,3144
2023-03-25,Blender,Home,East,2,1620
2023-04-19,Laptop,Electronics,West,9,8721
2024-06-18,Shoes,Fashion,East,10,6490
2024-04-21,T-shirt,Fashion,North,7,1498
2024-01-19,Smartphone,Electronics,West,5,5200
2024-11-16,Smartphone,Electronics,West,6,576
2024-10-19,Jacket,Fashion,South,10,7030
2023-05-24,Watch,Accessories,South,8,5304
2024-04-05,Laptop,Electronics,South,6,1584
2023-10-02,Coffee Maker,Home,North,4,896
2024-08-18,Backpack,Accessories,North,8,2120
2024-09-04,Shoes,Fashion,West,10,2410
2023-05-01,Coffee Maker,Home,East,8,7840
2023-11-17,Shoes,Fashion,North,7,2149
2023-12-06,Coffee Maker,Home,West,2,62
2023-12-17,Shoes,Fashion,North,6,4584
2023-11-01,Headphones,Electronics,West,10,10950
2024-12-09,Smartphone,Electronics,West,4,4292
2023-01-12,Smartphone,Electronics,North,6,4446
2023-04-03,Coffee Maker,Home,East,6,138
2024-12-06,T-shirt,Fashion,South,5,5910
2024-06-03,Desk Lamp,Home,South,8,5832
2024-06-02,Smartphone,Electronics,North,10,6960
2023-01-25,Coffee Maker,Home,North,2,744
2023-10-14,Desk Lamp,Home,East,1,94
2023-10-16,Headphones,Electronics,North,5,2200
2023-01-17,Coffee Maker,Home,West,5,975
2024-11-03,Watch,Accessories,North,5,1230
2023-06-13,Headphones,Electronics,West,9,9981
2024-05-09,Shoes,Fashion,West,7,574
2024-02-20,Desk Lamp,Home,East,8,5528
2024-02-27,Coffee Maker,Home,South,7,840
2024-12-05,T-shirt,Fashion,East,3,3444
2023-03-01,Smartphone,Electronics,South,2,1128
2024-05-29,Smartphone,Electronics,East,5,1455
2024-08-23,Sunglasses,Accessories,West,9,4275
2023-11-10,Jacket,Fashion,North,9,10224
2024-12-05,Smartphone,Electronics,West,3,633
2023-01-26,Desk Lamp,Home,West,4,4428
2024-07-29,Jacket,Fashion,South,3,636
2024-01-07,Headphones,Electronics,North,8,2384
2024-12-28,Backpack,Accessories,West,4,2788
2024-07-29,Laptop,Electronics,North,4,900
2024-06-12,Desk Lamp,Home,South,4,4612
2024-03-19,T-shirt,Fashion,North,9,10710
2024-03-02,T-shirt,Fashion,North,7,4998
2023-09-05,Shoes,Fashion,North,8,1456
2024-10-24,Watch,Accessories,North,3,2835
2024-08-14,Smartphone,Electronics,East,2,1300
2024-02-03,Smartphone,Electronics,East,3,1518
2023-02-20,Sunglasses,Accessories,West,5,1795
2023-03-27,Jacket,Fashion,West,6,1800
2023-01-05,T-shirt,Fashion,West,10,9690
2024-02-14,Laptop,Electronics,West,5,5490
2023-02-13,Jacket,Fashion,South,1,924
2023-05-10,Headphones,Electronics,South,9,7821
2023-09-18,Headphones,Electronics,North,4,4304
2024-12-26,Watch,Accessories,East,10,2570
2024-01-31,Smartphone,Electronics,East,9,4545
2024-12-02,Backpack,Accessories,North,1,28
2024-01-18,T-shirt,Fashion,West,8,8104
2024-05-10,Watch,Accessories,West,4,3960
2023-07-11,T-shirt,Fashion,East,3,696
2024-02-12,Shoes,Fashion,North,2,210
2024-05-07,Desk Lamp,Home,East,6,6894
2023-07-07,Shoes,Fashion,South,9,5949
2023-04-18,Watch,Accessories,West,6,3594
2024-11-22,Watch,Accessories,South,1,1195
2023-10-31,Headphones,Electronics,South,3,942
2024-05-12,Desk Lamp,Home,South,2,1892
2024-04-28,Headphones,Electronics,South,2,184
2024-08-23,Backpack,Accessories,North,6,4380
2023-06-08,Sunglasses,Accessories,East,8,760
2024-04-23,Headphones,Electronics,South,6,2352
2023-06-02,Laptop,Electronics,North,2,176
2024-07-18,Sunglasses,Accessories,West,7,7749
2023-12-08,Laptop,Electronics,West,4,932
2024-11-19,Backpack,Accessories,North,4,2668
2024-06-23,Watch,Accessories,South,10,7430
2023-06-13,Headphones,Electronics,North,1,990
2023-06-30,Coffee Maker,Home,South,10,12000
2023-02-17,Desk Lamp,Home,East,1,82
2024-03-06,Sunglasses,Accessories,South,4,3792
2023-01-27,Smartphone,Electronics,West,1,170
2023-12-17,Backpack,Accessories,West,7,7056
2023-09-26,T-shirt,Fashion,South,6,258
2024-01-03,Sunglasses,Accessories,North,2,1016
2023-06-15,Smartphone,Electronics,East,6,6540
2023-12-14,Shoes,Fashion,West,9,3960
2024-10-29,Headphones,Electronics,West,8,3344
2023-03-29,Smartphone,Electronics,West,3,3246
2023-08-25,Shoes,Fashion,East,2,2266
2024-02-25,Watch,Accessories,West,5,245
2023-12-05,Laptop,Electronics,East,1,563
2023-09-30,Backpack,Accessories,West,10,1560
2023-01-01,Blender,Home,South,1,302
2023-07-18,T-shirt,Fashion,East,3,2601
2024-04-29,Desk Lamp,Home,West,6,3888
2024-04-18,Coffee Maker,Home,North,10,3260
2024-07-31,Headphones,Electronics,North,2,1058
2024-04-18,Sunglasses,Accessories,South,7,5845
2023-03-14,Laptop,Electronics,East,2,1478
2024-04-05,Blender,Home,East,9,8721
2024-10-03,Sunglasses,Accessories,North,2,1336
2023-09-06,Coffee Maker,Home,East,6,4740
2024-10-08,Laptop,Electronics,West,5,820
2023-08-16,Desk Lamp,Home,North,9,585
2024-11-21,Jacket,Fashion,North,1,283
2023-10-27,Coffee Maker,Home,South,2,142
2024-04-13,T-shirt,Fashion,South,7,4571
2024-01-07,Desk Lamp,Home,South,4,2488
2023-08-09,Headphones,Electronics,East,4,2420
2024-02-12,Desk Lamp,Home,South,10,11620
2024-04-03,Blender,Home,West,7,5796
2024-06-27,Headphones,Electronics,North,4,2940
2023-08-23,Smartphone,Electronics,East,9,2025
2023-04-17,Desk Lamp,Home,North,7,8029
2023-04-07,Blender,Home,South,9,3780
2023-11-20,Blender,Home,West,1,840
2023-11-10,Headphones,Electronics,South,1,414
2024-01-16,Laptop,Electronics,West,2,58
2024-02-12,Shoes,Fashion,South,5,2845
2024-10-28,Laptop,Electronics,North,8,7320
